,LV ActivePower (kW)
37779,3601.98706054687
41191,1030.63305664062
19346,340.567901611328
29445,120.504600524902
36680,1574.43200683593
21303,1372.20703125
8398,285.375701904296
29890,1380.24694824218
47547,2450.86889648437
43321,1158.93994140625
36416,137.73469543457
39768,1067.27600097656
32604,2553.2060546875
16552,406.255401611328
6125,1811.07397460937
33900,1540.44201660156
37036,3554.55590820312
4423,435.911499023437
9846,870.227478027343
41675,3604.28393554687
7121,2039.05700683593
44218,1158.47595214843
23952,1137.48095703125
31521,3186.98999023437
98,2399.12109375
27038,993.571472167968
42776,538.465270996093
35440,964.036804199218
14392,2518.96997070312
42592,2816.501953125
1264,515.044921875
27837,61.4984703063964
326,1495.18005371093
32809,2882.34008789062
44581,2071.04711914062
31805,778.616027832031
27151,1308.5419921875
11822,338.840087890625
29820,1140.51794433593
49465,3600.32006835937
19370,786.041687011718
27930,319.028594970703
14823,357.219299316406
26473,76.515869140625
34075,2184.876953125
28147,200.750396728515
25235,1080.20300292968
34872,1278.92004394531
41334,3588.48388671875
1859,712.566223144531
25828,507.30810546875
49191,3590.79711914062
11617,3602.72900390625
8042,3561.9951171875
40663,177.787292480468
44187,1198.83996582031
4596,61.8414993286132
14972,2756.55297851562
47961,1156.50305175781
46605,1550.36804199218
24299,1479.99194335937
49663,261.101013183593
38240,487.616302490234
4221,3601.30493164062
11150,1510.81701660156
49235,3597.11499023437
15306,3.45252990722656
38095,2852.27490234375
47820,728.968627929687
20805,1825.23095703125
4047,3602.39306640625
33692,2030.93200683593
21079,446.680694580078
6235,1134.93603515625
29672,1538.69702148437
9757,3603.09912109375
43078,2893.4150390625
38808,365.59521484375
5884,152.610794067382
24774,771.571716308593
34404,2490.82690429687
47905,3602.53002929687
5226,97.2951431274414
39862,898.097778320312
7954,2111.23999023437
7989,3460.126953125
4449,1644.89294433593
36992,852.412292480468
37338,148.676696777343
2203,3599.9169921875
39852,443.331390380859
44846,639.477111816406
16737,12.4718303680419
21138,695.254028320312
46578,1156.02099609375
49571,577.911987304687
47226,3601.97290039062
18171,719.314086914062
41085,1047.65600585937
4759,1380.79602050781
4966,3575.65698242187
47169,3490.65209960937
31516,3326.02001953125
31772,2062.60205078125
10352,3602.48095703125
19628,1673.86499023437
42684,3590.375
6473,3534.962890625
24597,3054.93310546875
33522,121.493598937988
36304,305.439910888671
3079,1441.36901855468
31284,3576.2470703125
23723,2995.59790039062
5830,2546.4580078125
13313,1357.74304199218
5071,242.328201293945
33196,918.207275390625
424,2037.26696777343
12587,1135.89099121093
8739,3462.2958984375
2936,3587.15795898437
1133,314.634796142578
48236,586.188110351562
9728,3603.3740234375
8034,3470.68798828125
37492,266.214691162109
9691,2572.28295898437
20277,3477.23095703125
31595,1879.6650390625
36071,1239.95300292968
5333,3523.59301757812
21107,1348.92395019531
33503,638.783020019531
50474,183.744995117187
20228,1836.18103027343
36604,2483.06201171875
42447,1274.44201660156
49599,430.185089111328
44169,2230.78491210937
32243,616.346984863281
39568,2531.26904296875
44180,1598.33898925781
39636,2409.26489257812
34262,1483.55200195312
44154,902.278991699218
24429,2542.09106445312
18672,104.530899047851
47023,175.615798950195
27913,635.146911621093
21498,259.10659790039
21441,229.622406005859
13423,1281.32495117187
30107,926.665222167968
35623,96.3036499023437
31841,199.216003417968
38305,1986.69201660156
27688,256.78091430664
41418,302.569793701171
7700,3481.39892578125
28660,2258.48388671875
39279,2315.61499023437
7322,143.266906738281
11516,1258.56896972656
33105,792.447509765625
23128,2673.083984375
8929,3257.63793945312
37130,664.9658203125
11316,617.473022460937
9477,1488.35095214843
21459,434.414886474609
8269,3602.416015625
46055,362.123504638671
12614,0.734001815319061
42849,2886.55688476562
27743,401.554595947265
32944,3547.89306640625
44411,3602.60107421875
7522,2886.89111328125
37403,206.78010559082
4867,3312.22192382812
19377,951.364624023437
25142,2528.22998046875
14939,1167.21594238281
8299,3602.47290039062
9499,749.309020996093
20468,652.214721679687
27054,1615.74194335937
2823,3461.52490234375
40199,1337.2509765625
24922,248.314697265625
16178,3559.544921875
21355,390.745788574218
30555,1038.84704589843
48004,688.739501953125
47201,3601.94311523437
38555,3593.06103515625
44013,3191.03393554687
5720,3602.27294921875
6481,3508.75708007812
3871,3590.10888671875
29371,43.2709083557128
44424,3079.16088867187
36915,2844.72412109375
30827,1625.81994628906
17527,0.259532898664474
69,142.202499389648
9889,2622.93188476562
31765,2564.74194335937
11890,2807.27905273437
19878,46.6729888916015
29967,649.418029785156
40379,164.039901733398
37316,152.340698242187
242,3483.31591796875
4670,121.997901916503
15619,268.857788085937
18713,10.1082000732421
37739,3178.90991210937
17311,54.4155616760253
27425,458.265808105468
31728,947.287780761718
9148,6.23667097091674
37030,3557.40991210937
33183,1228.83703613281
4460,1647.85705566406
30678,1350.60498046875
47350,3585.48706054687
15080,3019.07690429687
17581,411.053192138671
21762,783.5322265625
42820,1850.98303222656
9598,3538.8798828125
41827,2257.3359375
24683,607.2158203125
15320,114.58740234375
9623,2602.21704101562
46575,1036.75
13579,159.151092529296
14548,19.3493690490722
25226,1614.39001464843
7747,3056.18090820312
26856,2108.64892578125
22019,25.6674308776855
25174,2685.81689453125
32494,3472.92700195312
8743,3462.88110351562
13537,265.444885253906
6110,1283.13305664062
39824,725.431884765625
33057,3046.57592773437
33625,179.032302856445
2989,3078.5791015625
2596,1267.29602050781
26578,428.486297607421
32435,3423.80200195312
4483,958.371887207031
20578,2913.80908203125
42689,3602.21606445312
6464,3121.52197265625
37770,3598.30810546875
14849,1507.81494140625
48196,1206.66796875
31021,3277.10693359375
42101,3498.712890625
12744,55.5405311584472
12254,1241.2919921875
44199,1357.71899414062
2406,3461.80688476562
2470,2764.28393554687
16461,761.995178222656
25687,18.9110698699951
9872,3304.80908203125
40802,228.520797729492
3105,2875.15600585937
30209,3386.02807617187
27419,994.341796875
2980,2777.0390625
45482,3601.9609375
15127,3257.49194335937
5017,10.0438003540039
10547,1181.2490234375
1798,3542.86303710937
18402,356.18359375
4064,3602.68090820312
9788,2590.11303710937
35745,449.606201171875
4703,407.736114501953
3034,610.405700683593
10309,3603.13989257812
29905,1994.12902832031
34367,3243.72412109375
11766,714.005981445312
28787,294.344207763671
29998,3084.36108398437
36590,1568.58801269531
865,3602.94995117187
16424,1837.68896484375
19198,126.999000549316
7959,2848.5029296875
50058,743.831787109375
4823,3321.705078125
12224,692.332824707031
26250,773.563171386718
15076,1608.93200683593
32530,1643.71203613281
8159,3496.55688476562
29962,593.781372070312
35223,15.3961400985717
9410,43.3767700195312
20312,3552.5458984375
186,3417.74609375
39375,492.364501953125
50230,28.0148296356201
31009,2655.6689453125
23745,2537.99609375
45433,3601.6240234375
47305,3601.8740234375
47717,286.881103515625
980,3372.68310546875
41271,3061.29296875
5125,497.21060180664
8264,3602.85107421875
28333,11.770299911499
20603,2165.94091796875
45172,204.719802856445
40659,163.818496704101
39502,2715.19897460937
17340,671.55712890625
8001,3460.93798828125
30589,1577.48999023437
33747,2624.92504882812
863,3603.32495117187
42402,1191.44604492187
949,3377.57202148437
26130,390.614013671875
10568,3004.5
38149,2576.75
36082,1479.32299804687
49556,1983.68798828125
9518,685.485717773437
38487,2611.05395507812
44226,1274.94201660156
5370,44.7579307556152
40711,1163.13403320312
165,3467.41796875
27244,481.645812988281
22068,477.916595458984
33645,1268.72705078125
21792,37.9531593322753
35931,3603.10693359375
50141,1104.47705078125
8098,3461.99194335937
43240,1218.29797363281
37712,3498.28491210937
33778,1617.59094238281
24649,2371.4609375
37226,239.49299621582
15961,857.999572753906
32587,3089.58911132812
38880,334.092407226562
32975,2196.39697265625
17897,169.90640258789
4828,3409.05297851562
15149,3600.7890625
8253,3603.05493164062
45157,290.653106689453
5940,2457.46801757812
10685,1737.998046875
30792,2286.38696289062
43181,2161.2470703125
4376,930.838195800781
29057,125.015998840332
33889,2343.83911132812
16409,686.05517578125
32676,1389.13098144531
41655,1401.22595214843
36069,1100.26000976562
28185,583.070983886718
5048,216.14599609375
45765,3484.53295898437
42933,1798.80505371093
27030,493.339111328125
44326,1776.55700683593
30880,2663.92700195312
26356,1621.81005859375
39218,2715.375
19535,1502.541015625
10934,3581.07397460937
5698,3493.94311523437
6647,32.5314598083496
28031,137.191192626953
22488,3554.43408203125
21990,1101.69299316406
50127,396.231201171875
32638,2828.03588867187
17787,591.486206054687
18198,2032.66394042968
50060,645.056579589843
39450,2108.412109375
43224,1121.7080078125
39306,1699.48400878906
8980,148.72019958496
42605,3298.2451171875
2331,2521.34106445312
36904,3210.07495117187
26003,795.308471679687
44964,1703.06896972656
31725,867.588500976562
43282,1105.85095214843
32210,1610.39697265625
7688,3489.23706054687
34435,1288.39099121093
41409,135.401901245117
25590,1397.23498535156
34056,2516.38793945312
44643,2396.06298828125
33441,768.424621582031
46739,3458.5849609375
6869,1176.2490234375
47891,3450.95092773437
3790,150.592498779296
4987,1798.67102050781
29058,89.3785018920898
33542,192.206298828125
36136,951.027282714843
33037,2918.4599609375
4257,3601.412109375
